Bank description; Nợ ; Có ; Nature 
CTY TNHH PT CONG NGHIEP BW LONG AN BLA_VC3_REPAYMENT SHL CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;1.100.000,00;Operating expense
CTY TNHH PT CONG NGHIEP BW LONG AN BLA_VC3_REPAYMENT SHL CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;10.000.000.000,00;Internal transfer out
GHI CO LAI TIEN GUI;252; -   ;Other receipts
GHI CO LAI TIEN GUI;161; -   ;Other receipts
VCB.CSH.256532. C79201125114219 BNC-INTERNAL TRANSFER FROM VCB TO OCB CT TU 1018291387 CT TNHH PHAT TRIEN CONG NGHIEP BW TP MOI TOI 914095;3.000.000,00; -   ;Internal transfer in
GHI CO LAI TIEN GUI;234; -   ;Other receipts
GHI CO LAI TIEN GUI;39.527,00; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CTY TNHH MTV PTCN BW THOI HOA-DA 2 ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CTY TNHH MTV PTCN BW THOI HOA-DA 2 ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;4.824,00; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 010/2025 CUA CTY COPHAN SAO HOA TOAN QUOC ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CTY COPHAN SAO HOA TOAN QUOC ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;5.941,00; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CTY CPPHAT TRIEN CONG NGHIEP BW ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CTY CPPHAT TRIEN CONG NGHIEP BW ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;967; -   ;Other receipts
GHI CO LAI TIEN GUI;468; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYCO PHAN DCQN HOLDCO ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYCO PHAN DCQN HOLDCO ST 110.000D/THANG; -   ;110.000,00;Operating expense
CONG TY TNHH PHAT TRIEN CONG NGHIEPDONGTIEN PHONGCONG TY TNHH PHAT TRIEN CONG NGHIEPDONG TIEN PHONG TRA TIEN VAY THEOHOP DONG VAY CO DONG NGAY01/11/2023/DTP REPAY THE PRINCIPALTO VC3 UNDER SHL DATED 01 NOVEMBER2023;11.898.054.907,00; -   ;Refinancing
CONG TY CO PHAN DCQN HOLDCO H4G-VC3-REPAYMENT SHL PRINCIPAL TO VC3/TRA NO GOC VAY CO DONG CHO VC3 CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;1.100.000,00;Operating expense
CONG TY CO PHAN DCQN HOLDCO H4G-VC3-REPAYMENT SHL PRINCIPAL TO VC3/TRA NO GOC VAY CO DONG CHO VC3 CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;11.898.054.907,00;Internal transfer out
GHI CO LAI TIEN GUI;3.432,00; -   ;Other receipts
GHI CO LAI TIEN GUI;90; -   ;Other receipts
GHI CO LAI TIEN GUI;489; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4JST110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4J ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;500; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4K ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4K ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;323; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4LST110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4L ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;186; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4Q ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4Q ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;4.175,00; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4R ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO4R ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;262; -   ;Other receipts
GHI CO LAI TIEN GUI;295; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO5H ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO5H ST 110.000D/THANG; -   ;110.000,00;Operating expense
CT TNHH PHAT TRIEN CN BW BAU BANGBB05BB5_ REPAYMENT SHL INTEREST TO H5H/THANH TOAN LAI VAY;12.976.376.101,00; -   ;Internal transfer in
CT TNHH PHAT TRIEN CN BW BAU BANGBB05BB5_ REPAYMENT SHL PRINCIPAL TOH5H/ THANH TOAN GOC VAY;4.685.411.592,00; -   ;Internal transfer in
CT TNHH PHAT TRIEN CN BW BAU BANGBB06BB6_ REPAYMENT SHL INTEREST TO H5H/THANH TOAN LAI VAY;13.955.070.629,00; -   ;Internal transfer in
CT TNHH PHAT TRIEN CN BW BAU BANGBB06BB6_ REPAYMENT SHL PRINCIPAL TOH5H/ THANH TOAN GOC VAY;325.117.919.239,00; -   ;Internal transfer in
CONG TY TNHH DAU TU PHAT TRIEN HOLDCO5H H5H_REPAYMENT SHL INTEREST TO VC3/THANH TOAN LAI VAY CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;1.100.000,00;Operating expense
CONG TY TNHH DAU TU PHAT TRIEN HOLDCO5H H5H_REPAYMENT SHL INTEREST TO VC3/THANH TOAN LAI VAY CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;115.514.643.413,00;Internal transfer out
CONG TY TNHH DAU TU PHAT TRIEN HOLDCO5H H5H_REPAYMENT SHL PRINCIPAL TO VC3/THANH TOAN GOC VAY CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;1.100.000,00;Operating expense
CONG TY TNHH DAU TU PHAT TRIEN HOLDCO5H H5H_REPAYMENT SHL PRINCIPAL TO VC3/THANH TOAN GOC VAY CHO CONG TY CO PHAN SAO HOA TOAN QUOC; -   ;241.220.134.148,00;Internal transfer out
GHI CO LAI TIEN GUI;861; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO5K ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO5K ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;130; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO5L ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN HOLDCO5L ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;191; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYCO PHAN QV2 HOLDCO ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYCO PHAN QV2 HOLDCO ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;191; -   ;Other receipts
GHI CO LAI TIEN GUI;268; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN SPV4C ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH DAU TU PHAT TRIEN SPV4C ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;300; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CTY TNHH DAU TU PHAT TRIEN SPV5C ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CTY TNHH DAU TU PHAT TRIEN SPV5C ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;239; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CONG TYTNHH PHAT TRIEN CONG NGHIEP TAYHAI ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CONG TYTNHH PHAT TRIEN CONG NGHIEP TAYHAI ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;282; -   ;Other receipts
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 10/2025 CUA CCONGTYCO PHAN TH1 HOLDCO ST 110.000D/THANG; -   ;110.000,00;Operating expense
OCB CNBD THU PHI GIAO DICH HD QUAFAX/EMAIL THANG 11/2025 CUA CCONGTYCO PHAN TH1 HOLDCO ST 110.000D/THANG; -   ;110.000,00;Operating expense
GHI CO LAI TIEN GUI;172; -   ;Other receipts
"Cty SWS thanh toan Hoa don so 308
119002989558 VietinBank";12.578.527,00; -   ;Receipt from tenants
TT cho NCC HD307 Pay for supplier_Rental factory Nov 2025;643.211.422,00; -   ;Receipt from tenants
"INTERNAL TRANFER FROM VTB ACCOUNT TO WOORIBANK RA ACCOUNT
CT TNHH PT CONG NGHIEP BW MY PHUOC 3";3.200.000.000,00; -   ;Internal transfer in
INTERNAL TRANSFER FROM WOORIBANK RA ACCOUNT TO WOORIBANK DSA ACCOUNT; -   ;1.700.000.000,00;Internal transfer out
MP3_BECAMEX_EMF IN 11.2025-INV.13786; -   ;278.784.000,00;Operating expense
CLICK TT BW INDUSTRIAL DEVELOPMENT MY PHUOC 3 LIMITED LIABILITY COMPANY PHI DIEN SOLAR X1 T10 THEO;36.682.617,00; -   ;Receipt from tenants
CLICK TT BW INDUSTRIAL DEVELOPMENT MY PHUOC 3 LIMITED LIABILITY COMPANY PHI DIEN SOLAR X2 T10 THEO;24.472.419,00; -   ;Receipt from tenants
INTERNAL TRANSFER FROM WOORIBANK RA ACCOUNT TO WOORIBANK DSA ACCOUNT; -   ;19.297.826.503,00;Internal transfer out
MP3_BKAV_HSM DIGITAL SIGNATURE SEVICE; -   ;1.473.120,00;Operating expense
mp3_baduong_provide equipment and maintenance of fire fighting and prevention in 2025-pr.03-inv.234; -   ;5.106.780,00;Operating expense
mp3_IMPC_FM service fee in oct25-INV.00000550; -   ;238.035.271,00;Operating expense
"INTERNAL TRANSFER FROM WOORIBANK RA ACCOUNT TO WOORIBANK DSA ACCOUNT
BW INDUSTRIAL DEVELOPMENT MY PHUOC 3 LIMITED LIABILITY COMPANY";1.700.000.000,00; -   ;Internal transfer in
Loan Repayment; -   ;1.506.307.093,00;Loan repayment
Loan Repayment; -   ;346.948.808,00;Loan repayment
MP3 CHUYEN TIEN THANH TOAN GOC LAI 11/2025 THEO HDTD NGAY 08/08/2025; -   ;787.892.392,00;Loan repayment
MP3 CHUYEN TIEN THANH TOAN GOC LAI 11/2025 THEO HDTD 08/08/2025; -   ;577.214.014,00;Loan repayment
MP3 CHUYEN TIEN THANH TOAN GOC LAI 11/2025 THEO HDTD 08/08/2025; -   ;72.917.437,00;Loan repayment
"INTERNAL TRANSFER FROM WOORIBANK RA ACCOUNT TO WOORIBANK DSA ACCOUNT
BW INDUSTRIAL DEVELOPMENT MY PHUOC 3 LIMITED LIABILITY COMPANY";19.297.826.503,00; -   ;Internal transfer in
"INTERNAL TRANSFER FROM WOORIBANK DSA TO WOORIBANK DSRA
BW INDUSTRIAL DEVELOPMENT MY PHUOC 3 LIMITED LIABILITY COMPANY"; -   ;9.900.000.000,00;Internal transfer out
INTERNAL TRANSFER FROM WOORIBANK DSA TO WOORIBANK DSRA;9.900.000.000,00; -   ;Internal transfer in
INTERNAL TRANSFER FROM WOORIBANK DSRA TO WOORIBANK CA; -   ;9.900.000.000,00;Internal transfer out
INTERNAL TRANSFER FROM WOORIBANK DSRA TO WOORIBANK CA;9.900.000.000,00; -   ;Internal transfer in
MP3_BLA_FRIST PAYMENT FOR Y2025 PROFIT DISTRIBUTION-THANH TOAN LAN 1 LOI NHUAN NAM 2025; -   ;10.000.000.000,00;Internal transfer out
AUTO ROLLOVER A/C; -   ;17.182.056.514,00;Internal transfer out
AUTO ROLLOVER A/C;17.182.056.514,00; -   ;Internal transfer in
Tra goc TK tien gui 210000486969; -   ;85.000.000.000,00;Internal transfer out
TAT TOAN HDTG 900 2025 19804; -   ;5.000.000.000,00;Internal transfer out
TAT TOAN HDTG 285 2025 20981; -   ;100.000.000,00;Internal transfer out
Withdraw fixed deposit on BIDV iBank; -   ;100.000.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 817013450804 dao han ngay 27/11/2025, tien goc 50000000000 (VND); -   ;50.000.000.000,00;Internal transfer out
REM 9901CI251127000039809 B/O CONG TY CO PHAN SAO HOA TOAN QUOC F/O-2221578686 CTY CP SAO HOA TOAN QUOC DTLS-REF/202511272010011000597079307005 --TAT TOAN TGCKH SO 509719829, PHI NTH CHIU-- Bank Charge .00 VAT .00; -   ;50.000.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 810012443158 dao han ngay 25/11/2025, tien goc 5300000000 (VND); -   ;5.300.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 810012732609 dao han ngay 26/11/2025, tien goc 7000000000 (VND); -   ;7.000.000.000,00;Internal transfer out
Rut tien gui online tren BIDV iBank; -   ;9.000.000.000,00;Internal transfer out
rut tien gui online so 817007296714; -   ;5.000.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 819012425984 dao han ngay 25/11/2025, tien goc 8000000000 (VND); -   ;8.000.000.000,00;Internal transfer out
partially withdraw term deposit; -   ;5.000.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 814010881733 dao han ngay 20/11/2025, tien goc 1300000000 (VND); -   ;1.300.000.000,00;Internal transfer out
Tat toan tai khoan tien gui so 817010522526 dao han ngay 25/11/2025, tien goc 8000000000 (VND); -   ;8.000.000.000,00;Internal transfer out
07003600017296; -   ;50.000.000.000,00;Internal transfer out
TAT TOAN HDTG RGLH SO 1308/2025/HDTG/RGLH/VCBBD-BWTU KY NGAY 13.08.2025, KY HAN 13.08.2025 - 08.11.2025 (TK 1059629680); -   ;3.000.000.000,00;Internal transfer out
MO HGTG;10.000.000.000,00; -   ;Internal transfer in
GUI HDTG 900/2025/38214;10.000.000.000,00; -   ;Internal transfer in
MO HDTG SO 902/2025/38919;14.000.000.000,00; -   ;Internal transfer in
GUI TIET KIEM THEO HDTG SO 285 2025 37853 NGAY 17112025;8.000.000.000,00; -   ;Internal transfer in
MO HDTG SO 902/2025/38928 KY HAN 1M, TRA LAI CUOI KY;5.000.000.000,00; -   ;Internal transfer in
GUI HDTG 285 2025 37769;4.000.000.000,00; -   ;Internal transfer in
GUI TIET KIEM THEO HDTG SO 285 2025 37647 NGAY 17112025;4.000.000.000,00; -   ;Internal transfer in
GUI TK 1 THANG LAI SAU;4.000.000.000,00; -   ;Internal transfer in
GUI TIEN VAO HDTG CO KY HAN SO 285 2025 38679;22.000.000.000,00; -   ;Internal transfer in
GUI TIET KIEM THEO HDTG SO 285 2025 37852 NGAY 17112025;8.000.000.000,00; -   ;Internal transfer in
GUI KY HAN 1 THANG TRA LAI SAU, LAI SUAT 4.75%/NAM THEO HDTG 900/2025/39437 NGAY 28/11/2025;8.000.000.000,00; -   ;Internal transfer in
HDTG: 900/2025/37869, KH 69 NGAY, LS 4.75%/NAM;8.000.000.000,00; -   ;Internal transfer in
652/2025/HDTG.TX_CK:(3,000,000,000.00);3.000.000.000,00; -   ;Internal transfer in
HDTG SO 663.2025.HDTG.TX_CK:(4,000,000,000.00);4.000.000.000,00; -   ;Internal transfer in
Completed transfer to BIDV CD account/CK den tai khoan 814013918943;11.000.000.000,00; -   ;Internal transfer in
Completed transfer to BIDV CD account/CK den tai khoan 811013837293;10.000.000.000,00; -   ;Internal transfer in
Completed transfer to BIDV CD account/CK den tai khoan 816013836147;29.000.000.000,00; -   ;Internal transfer in
Transfer to KBank Account - OPEN TD 1M;19.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMETHUC HIEN HDTG RGLH SO 2511/2025/HDTG/RGLH/VCBBD-BWTU KY NGAY 25.11.2025, KY HAN 76 NGAY, LS 4.75%/NAM, NGAY 09.02.2026 TAT TOAN GOC LAI VE TKTT 1018776868;8.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMETHUC HIEN THEO HDTG RGLL SO HDTG/RGLH/VVCBBD-TT3B-18.11.2025-1 , ST 5.000.000.000VND,KY HAN 157 NGAY, NGAY DEN HAN 24/04/2026, TAT TOAN CHUYEN TOAN BO VAO TK 9020128888;5.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMETHUC HIEN THEO HDTG RGLL SO HDTG/RGLH/VVCBBD-TT3B-18.11.2025-2 , ST 2.000.000.000VND,KY HAN 164 NGAY, NGAY DEN HAN 01/05/2026, TAT TOAN CHUYEN TOAN BO VAO TK 3243126666;2.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 1 THANG THEO HD 0063.2025/HDTG-VCBHCM.KHFDI NGAY 17.11.2025 LAI SUAT 4.75% DAO HAN XOAY VONG GOC, LAI TRA RA CO AP DUNG RUT GOC LINH HOAT;3.000.000.000,00; -   ;Internal transfer in
CK SANG TK TIMEMO TKKH 39 NGAY THEO HD 0062.2025/HDTG-VCBHCM.KHFDI NGAY 17.11.2025 LAI SUAT 4.75% DAO HAN KHONG XOAY VONG GOC, LAI TRA RA CO AP DUNG RUT GOC LINH HOAT;15.500.000.000,00; -   ;Internal transfer in
TAT TOAN TIEN GUI SO 14537134677046;50.000.000.000,00; -   ;Internal transfer in
TAT TOAN TIEN GUI SO 14537134677046;201.712.329,00; -   ;Other receipts
TAT TOAN TIEN GUI SO 14537134677046; -   ;50.000.000.000,00;Internal transfer out
CONG TY CP SAO HOA TOAN QUOC INTERNAL TRANSFER FROM TCB TO BIDV; -   ;50.600.000.000,00;Internal transfer out
Tra lai so du tren tai khoan thang 11/2025;32.466,00; -   ;Other receipts
VAT CHARGES; -   ;50.000,00;Operating expense
BILL NO: 43437768 31/10/2025; -   ;500.000,00;Operating expense
QV2_VC3_Chuyen tien hop tac kinh do anh_BCC transfer;1.000.000.000,00; -   ;Internal transfer in
QV2_ESIGN_PAYMENT FOR E-TOKEN WITH 2 YEARS TERM_INVOICE 1315; -   ;2.694.600,00;Operating expense
QV2_ESIGN_PAYMENT FOR E-TOKEN WITH 2 YEARS TERM_INVOICE 1315; -   ;22.000,00;Operating expense
QV2_NTD_DESIGN SERVICE_4TH PAYMENT_ AWARDING MAIN CONTRACTOR AND ISSUAN CE CONSTRUCTION DRAWINGS_INVOIC E 20; -   ;526.500.000,00;Operating expense
QV2_NTD_DESIGN SERVICE_4TH PAYMENT_ AWARDING MAIN CONTRACTOR AND ISSUAN CE CONSTRUCTION DRAWINGS_INVOIC E 20; -   ;22.000,00;Operating expense
CRIN;1.158.175,00; -   ;Other receipts
"MISC CREDIT
2025112800004078
MIR511284631C01
BMP-H4T REPAYMENT SHL PRINCIPAL/ T";11.492.255.772,00; -   ;Refinancing
"MISC DEBIT
MOR511286147C01"; -   ;11.492.255.772,00;Internal transfer out
REF222A25B0H07SSKG2 B/O 8660004066 CTY CP PHAT TRIEN CONG NGHIEP YEN PHONG (VIET NAM) F/O 110000162750 CONG TY CP DIEN LUC KV 1 NHH01201001 JYP_DLKV1_Payment of Power consumption period 3 - Oct 2025; -   ;105.659.998,00;Operating expense
REF222A25B0H07SXN28 B/O 8660004066 CTY CP PHAT TRIEN CONG NGHIEP YEN PHONG (VIET NAM) F/O 119000234614 CTDTPT HATANG VIGLACERA-CNTCT VIGLACERA NHH01201001 JYP_Viglacera_Payment for Water supply and Wastewater treatment fee October 2025_INVOICE 29192,2939; -   ;87.358.600,00;Operating expense
PHI QUAN LY TAI KHOAN 866xxx066 T11 2025; -   ;55.000,00;Operating expense
REF222A25B0U3ZHFQHM B/O 8660004066 CTY CP PHAT TRIEN CONG NGHIEP YEN PHONG (VIET NAM) F/O 0071005396210 CONG TY BAO HIEM PVI PHIA NAM NHH01203001 JYP_PVI_Payment for PAR,BI Insurance Purchasing from 27102025 to 30092026_INVOICE 00003305; -   ;4.931.879,00;Operating expense
REF222A25B0U3ZHFY2A B/O 8660004066 CTY CP PHAT TRIEN CONG NGHIEP YEN PHONG (VIET NAM) F/O 110000162750 CONG TY CP DIEN LUC KV 1 NHH01201001 JYP_DLKV1_Payment of Power consumption period 1 - Nov 2025; -   ;99.000.879,00;Operating expense
Thanh toan lai tai khoan tien gui 810011408638 so tien 7643836 VND;7.643.836,00;;Other receipts
PHI QUAN LY TAI KHOAN 867xxx836 T11 2025; -   ;110.000,00;Operating expense
Thanh toan lai thang 11/2025;446.730,00;;Other receipts
REF222A25B1AKFFA3GS B/O 8660004066 CTY CP PHAT TRIEN CONG NGHIEP YEN PHONG (VIET NAM) F/O 110000162750 CONG TY CP DIEN LUC KV 1 NHH01201001 JYP_DLKV1_Payment of Power consumption period 2 - Nov 2025; -   ;103.122.916,00;Operating expense
PHI QUAN LY TAI KHOAN 222XXX094 T11 2025; -   ;55.000,00;Operating expense
THANH TOAN LAI THANG 11/2025;31.305,00; -   ;Other receipts
Thanh toan lai thang 11/2025;360.091,00; -   ;Other receipts
cho vay bu dap tai chinh cac chi phi lien quan den du an;11.492.255.772,00; -   ;Internal transfer in
REF222A25B1B32FLCLT B/O 8600013323 CONG TY CP CONG NGHIEP MINH PHUONG F/O 1053051788 CONG TY TNHH DAU TU PHAT TRIEN HOLDCO4T NHH79665001 BMP-H4T REPAYMENT SHL PRINCIPAL/ TRA MOT PHAN GOC VAY; -   ;11.492.255.772,00;Internal transfer out
VCBCSH. C738131125115508.BNT-IDICO-Electricity fee in Nov 2025-Term 1-Inv no.00008342 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 6710000418 CONG TY CO PHAN DAU TU PHAT TRIEN NHA VA DO THI; -   ;51.443.894,00;Operating expense
02009704151118153117202521Zb462501.97574.153117.CIRCLE TT PHI THUE KHO T10 - HD 00000125 00000131;404.736.102,00; -   ;Receipt from tenants
CA - TARGET;19.109.589,00; -   ;Other receipts
DONG TKKH 1061610518 THEO DE NGHI CUA CONG TY NGAY 25.11.2025;5.000.000.000,00; -   ;Internal transfer in
DONG TKKH 1061610518 THEO DE NGHI CUA CONG TY NGAY 25.11.2025;13.698,00; -   ;Other receipts
DONG TKKH 1061610518 THEO DE NGHI CUA CONG TY NGAY 25.11.2025; -   ;5.000.000.000,00;Internal transfer out
THU PHI QLTK TO CHUC-VND; -   ;22.000,00;Operating expense
INTEREST PAYMENT;2.465.118,00; -   ;Other receipts
/Ref:P25112619{//}TT TIEN THUE NHA KHO & NHA XUONG 03/10/25-31/12/2025 DVC:TAI CHUNG TRAVEL GOODS (VIETNAM) COMPANY LIMITED;1.624.494.030,00; -   ;Receipt from tenants
THU NO TK 001031401884; -   ;5.017.873.973,00;Loan repayment
VCBCSH. C719201125101016.BNT-IMPC-FM fee in 10/2025-Inv no.00000543 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 6516278989 CT CP THIET KE VA QUAN LY KY THUAT IMP NH Dau tu va Phat trien VN; -   ;198.416.413,00;Operating expense
VCB.CSH.256542. C72201125101218 BNT-DONG A-FF maintenance 2025-1st payment-Inv no.229 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 181480700000015 CTY TNHH TM THIET BI AN NINH DONG A NHTMCP; -   ;81.518.400,00;Operating expense
VCBCSH. C759251125104651.BNT-IDICO-Electricity fee in Nov 2025-Term 2-Inv no.00008776 CT tu 0071001286959 CT TNHH MTV PT CONG NGHIEP BW NHON TRACH toi 6710000418 CONG TY CO PHAN DAU TU PHAT TRIEN NHA VA DO THI; -   ;52.013.789,00;Operating expense
SHGD:10000863.DD:251127.BO:CONG TY TNHH CONG NGHE MTC (VIET NAM).Remark:(801000164525);343.588.350,00; -   ;Receipt from tenants
"IBVCB.2811250159782017.Tai Chung thanh toan cho BW hd 121; 133; 105; 106";50.183.993,00; -   ;Receipt from tenants
VAT CHARGES; -   ;50.000,00;Operating expense
BILL NO: 43437766; -   ;500.000,00;Operating expense
Adjustment;30.000,00; -   ;Other receipts
Tra lai tai khoan DDA;25.468,00; -   ;Other receipts
Tra lai tai khoan DDA;7.566,00; -   ;Other receipts
Tra lai tai khoan DDA;131.721,00; -   ;Other receipts
Payment for water wastewater fees of Oct 2025  - Fabritech TT HD so 00000174;6.827.520,00; -   ;Receipt from tenants
CT DEN:533714044679 VINH THAI TT TIEN NUOC VA NUOC THAI SINH HOAT VSIP T11.2025 . CTY QLCN-031225-14:56:07 044679;2.611.796,00; -   ;Receipt from tenants
water rate 220251100454;2.116.287,00; -   ;Receipt from tenants
Cong ty CIMIYA  tt tien su dung nuoc tu 20.11 dn 30.11 xuong A6;1.593.639,00; -   ;Receipt from tenants
So GD goc: 10001289 ITL mien Bac thanh toan INV 195 ChargeDetails OUR;4.998.039,00; -   ;Receipt from tenants
